rank,player_name,age,gender,club,league,nationality,position,preffered_foot,height_(in cm),weight_(in kg),alt_position,ovr,pac,pac+-,sho,sho+-,pas,pas+-,dri,dri+-,def,def+-,phy,phy+-,image_url
11,Harry Kane,31,M,FC Bayern München,Bundesliga,England,ST,Right,188,86,,90,65,-4,93,0,84,0,83,0,49,0,82,-1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p202126.png?padding=0.7
12,Martin Ødegaard,25,M,Arsenal,Premier League,Norway,CM,Left,178,68,['CAM'],89,70,-2,82,1,89,1,89,2,67,6,66,2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p222665.png?padding=0.7
13,Gianluigi Donnarumma,25,M,Paris SG,Ligue 1 McDonald's,Italy,GK,Right,196,90,,89,90,0,84,2,73,-6,90,1,52,0,87,4,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p230621.png?padding=0.7
14,Sophia Smith,24,F,Portland Thorns,NWSL,United States,ST,Right,164,58,['RW'],89,93,0,86,1,79,1,89,1,45,0,84,2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p264012.png?padding=0.7
15,Alisson,32,M,Liverpool,Premier League,Brazil,GK,Right,193,91,,89,86,0,85,0,85,0,89,0,56,0,90,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p212831.png?padding=0.7
16,Thibaut Courtois,32,M,Real Madrid,LALIGA EA SPORTS,Belgium,GK,Left,200,96,,89,85,0,89,0,76,0,90,-3,46,0,88,-2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p192119.png?padding=0.7
17,Ada Hegerberg,29,F,OL,Arkema PL,Norway,ST,Right,176,68,,89,74,-1,89,0,77,0,86,0,39,0,79,3,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p227310.png?padding=0.7
18,Lautaro Martínez,27,M,Lombardia FC,Serie A Enilive,Argentina,ST,Right,174,72,,89,82,2,88,2,75,4,87,2,54,6,85,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p231478.png?padding=0.7
19,Mapi León,29,F,FC Barcelona,Liga F,Spain,CB,Left,170,58,,89,75,0,73,-1,83,2,76,0,90,0,82,1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p236479.png?padding=0.7
20,Virgil van Dijk,33,M,Liverpool,Premier League,Holland,CB,Right,193,92,,89,78,0,60,0,71,0,71,-1,89,0,86,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p203376.png?padding=0.7
21,Marc-André ter Stegen,32,M,FC Barcelona,LALIGA EA SPORTS,Germany,GK,Right,187,85,,89,86,0,85,0,89,0,91,0,47,0,86,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p192448.png?padding=0.7
22,Mohamed Salah,32,M,Liverpool,Premier League,Egypt,RW,Left,175,72,['RM'],89,89,0,87,0,82,1,88,0,45,0,75,-1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p209331.png?padding=0.7
23,Phil Foden,24,M,Manchester City,Premier League,England,RW,Left,171,69,"['LW', 'CAM', 'RM']",88,86,5,86,7,85,3,90,2,57,0,63,3,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p237692.png?padding=0.7
24,Marie Katoto,26,F,Paris SG,Arkema PL,France,ST,Right,177,66,,88,85,2,87,-1,77,0,84,0,39,0,74,3,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p246272.png?padding=0.7
25,Lionel Messi,37,M,Inter Miami CF,MLS,Argentina,RW,Left,169,67,"['ST', 'CAM', 'RM']",88,79,-1,85,-2,87,-3,92,-2,33,0,64,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p158023.png?padding=0.7
26,Debinha,33,F,KC Current,NWSL,Brazil,CAM,Right,155,52,['RM'],88,84,0,81,0,87,0,91,0,46,0,68,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p226893.png?padding=0.7
27,Kadidiatou Diani,29,F,OL,Arkema PL,France,RW,Right,168,64,"['ST', 'RM']",88,90,1,85,0,81,-2,88,0,56,0,79,2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p227361.png?padding=0.7
28,Antoine Griezmann,33,M,Atlético de Madrid,LALIGA EA SPORTS,France,ST,Left,176,73,,88,80,0,88,0,87,0,89,1,59,1,75,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p194765.png?padding=0.7
29,Rúben Dias,27,M,Manchester City,Premier League,Portugal,CB,Right,187,82,,88,67,5,39,0,70,4,69,0,89,0,87,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p239818.png?padding=0.7
30,Robert Lewandowski,36,M,FC Barcelona,LALIGA EA SPORTS,Poland,ST,Right,185,81,,88,75,0,88,-3,79,-1,86,-1,44,0,84,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p188545.png?padding=0.7
31,Patri Guijarro,26,F,FC Barcelona,Liga F,Spain,CDM,Right,171,74,['CM'],88,78,0,82,0,83,0,87,1,85,4,77,5,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p237289.png?padding=0.7
32,Federico Valverde,26,M,Real Madrid,LALIGA EA SPORTS,Uruguay,CM,Right,182,78,['RM'],88,88,0,82,0,84,0,84,0,80,0,84,2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p239053.png?padding=0.7
33,Ederson,31,M,Manchester City,Premier League,Brazil,GK,Left,188,86,,88,87,1,82,0,91,0,87,1,64,0,86,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p210257.png?padding=0.7
34,Bernardo Silva,30,M,Manchester City,Premier League,Portugal,CM,Left,173,64,['RW'],88,75,6,78,0,86,0,92,0,71,1,69,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p218667.png?padding=0.7
35,Beth Mead,29,F,Arsenal,Barclays WSL,England,RW,Right,163,58,"['LW', 'RM']",88,82,1,84,0,84,0,88,1,67,0,73,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p245802.png?padding=0.7
36,Wendie Renard,34,F,OL,Arkema PL,France,CB,Right,187,70,,88,48,-5,66,-1,71,2,69,0,91,0,84,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p227316.png?padding=0.7
37,Guro Reiten,30,F,Chelsea,Barclays WSL,Norway,LM,Left,167,60,"['LW', 'CAM']",88,88,0,80,0,85,-1,86,0,60,0,66,3,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p227323.png?padding=0.7
38,Jan Oblak,31,M,Atlético de Madrid,LALIGA EA SPORTS,Slovenia,GK,Right,188,87,,88,85,0,90,0,78,0,87,0,46,0,86,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p200389.png?padding=0.7
39,Irene Paredes,33,F,FC Barcelona,Liga F,Spain,CB,Right,178,67,,88,71,2,51,0,67,0,68,0,89,0,84,4,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p227190.png?padding=0.7
40,Antonio Rüdiger,31,M,Real Madrid,LALIGA EA SPORTS,Germany,CB,Right,190,86,,88,82,0,55,1,73,2,70,4,86,2,86,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p205452.png?padding=0.7
41,Christiane Endler,33,F,OL,Arkema PL,Chile,GK,Left,183,73,,88,87,0,82,0,84,0,90,0,42,0,89,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p245956.png?padding=0.7
42,Florian Wirtz,21,M,Leverkusen,Bundesliga,Germany,CAM,Right,177,71,['LM'],88,81,7,78,2,87,4,89,2,50,-2,67,4,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p256630.png?padding=0.7
43,Gregor Kobel,26,M,Borussia Dortmund,Bundesliga,Switzerland,GK,Right,195,88,,88,87,1,86,2,73,-1,89,0,44,0,87,2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p235073.png?padding=0.7
44,William Saliba,23,M,Arsenal,Premier League,France,CB,Right,193,85,,87,82,0,39,0,70,1,74,1,87,3,83,1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p243715.png?padding=0.7
45,Victor Osimhen,25,M,Galatasaray,Trendyol Süper Lig,Nigeria,ST,Right,186,77,,87,89,-1,84,-2,65,-1,81,-2,42,0,82,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p232293.png?padding=0.7
46,Jamal Musiala,21,M,FC Bayern München,Bundesliga,Germany,CAM,Right,184,72,"['LM', 'CM']",87,84,-1,81,6,78,2,90,-1,63,0,64,3,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p256790.png?padding=0.7
47,Bukayo Saka,23,M,Arsenal,Premier League,England,RW,Left,178,65,['RM'],87,85,0,83,2,81,2,88,1,60,0,70,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p246669.png?padding=0.7
48,Alexandra Popp,33,F,VfL Wolfsburg,GPFBL,Germany,ST,Left,174,65,['LM'],87,76,3,87,0,75,-1,80,-2,52,0,90,2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p226302.png?padding=0.7
49,Paulo Dybala,31,M,AS Roma,Serie A Enilive,Argentina,CAM,Left,177,75,['ST'],87,80,0,85,0,84,-1,89,-1,41,1,65,5,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p211110.png?padding=0.7
50,Theo Hernández,27,M,Milano FC,Serie A Enilive,France,LB,Left,184,81,['LM'],87,95,2,76,5,78,2,84,3,81,3,89,5,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p232656.png?padding=0.7
51,Sakina Karchaoui,28,F,Paris SG,Arkema PL,France,LB,Left,160,55,['LM'],87,89,0,66,5,82,0,87,0,80,1,65,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p233662.png?padding=0.7
52,Neymar Jr,32,M,Al Hilal,ROSHN Saudi League,Brazil,LW,Right,175,68,"['CAM', 'LM']",87,85,-1,79,-4,84,-1,92,-1,37,0,60,-1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p190871.png?padding=0.7
53,Declan Rice,25,M,Arsenal,Premier League,England,CDM,Right,185,80,['CM'],87,73,2,72,7,82,7,79,2,84,1,85,2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p234378.png?padding=0.7
54,Mallory Swanson,26,F,Chicago Red Stars,NWSL,United States,LM,Right,163,54,"['ST', 'LW']",87,89,-4,81,-1,80,-2,85,1,42,0,71,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p232073.png?padding=0.7
55,Frenkie de Jong,27,M,FC Barcelona,LALIGA EA SPORTS,Holland,CM,Right,181,74,['CDM'],87,82,0,69,0,86,0,87,0,77,0,78,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p228702.png?padding=0.7
56,Mike Maignan,29,M,Milano FC,Serie A Enilive,France,GK,Right,191,89,,87,84,-1,83,1,85,-2,88,-1,64,13,84,-1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p215698.png?padding=0.7
57,Bruno Fernandes,30,M,Man Utd,Premier League,Portugal,CAM,Right,179,69,['CM'],87,70,-1,85,-1,88,-2,83,0,65,-4,75,-2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p212198.png?padding=0.7
58,Rose Lavelle,29,F,NJ/NY Gotham,NWSL,United States,CAM,Left,163,56,['CM'],87,86,0,79,1,84,0,87,0,45,0,63,-2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p232075.png?padding=0.7
59,Heung Min Son,32,M,Spurs,Premier League,Korea Republic,ST,Right,183,78,['LM'],87,87,0,89,1,81,1,85,1,42,0,73,3,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p200104.png?padding=0.7
60,Marquinhos,30,M,Paris SG,Ligue 1 McDonald's,Brazil,CB,Right,183,75,,87,79,1,56,0,75,0,74,0,89,0,81,1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p207865.png?padding=0.7
61,Alessandro Bastoni,25,M,Lombardia FC,Serie A Enilive,Italy,CB,Left,190,75,,87,75,2,43,8,75,3,76,3,87,1,83,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p237383.png?padding=0.7
62,İlkay Gündoğan,34,M,Manchester City,Premier League,Germany,CM,Right,180,80,['CDM'],87,62,0,83,2,85,1,87,1,74,2,73,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p186942.png?padding=0.7
63,Ewa Pajor,27,F,FC Barcelona,Liga F,Poland,ST,Right,167,61,['LW'],87,88,3,88,-1,63,0,89,0,21,0,70,1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p241846.png?padding=0.7
64,Emiliano Martínez,32,M,Aston Villa,Premier League,Argentina,GK,Right,195,88,,87,84,1,82,-1,83,1,86,1,56,-2,87,3,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p202811.png?padding=0.7
65,Nicolò Barella,27,M,Lombardia FC,Serie A Enilive,Italy,CM,Right,172,68,['CDM'],87,81,3,78,0,83,1,86,1,80,2,82,2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p224232.png?padding=0.7
66,Yann Sommer,35,M,Lombardia FC,Serie A Enilive,Switzerland,GK,Right,183,77,,87,83,5,84,5,85,2,89,-1,50,0,86,2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p177683.png?padding=0.7
67,Cristiano Ronaldo,39,M,Al Nassr,ROSHN Saudi League,Portugal,ST,Right,187,85,,86,77,0,88,0,77,2,80,0,34,0,77,3,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p20801.png?padding=0.7
68,Gabriel,26,M,Arsenal,Premier League,Brazil,CB,Left,190,87,,86,69,-1,41,0,63,1,61,1,86,1,82,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p232580.png?padding=0.7
69,Granit Xhaka,32,M,Leverkusen,Bundesliga,Switzerland,CDM,Left,186,80,['CM'],86,50,1,75,1,85,3,74,1,79,4,82,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p199503.png?padding=0.7
70,Khadija Shaw,27,F,Manchester City,Barclays WSL,Jamaica,ST,Right,180,70,,86,69,0,86,1,71,2,78,3,32,2,85,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p246219.png?padding=0.7
71,Rodrygo,23,M,Real Madrid,LALIGA EA SPORTS,Brazil,RW,Right,174,64,"['ST', 'RM']",86,89,1,81,0,79,0,88,2,31,0,64,2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p243812.png?padding=0.7
72,João Cancelo,30,M,Al Hilal,ROSHN Saudi League,Portugal,LB,Right,182,74,"['RB', 'RM']",86,81,0,73,0,85,0,85,1,80,0,72,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p210514.png?padding=0.7
73,Rafael Leão,25,M,Milano FC,Serie A Enilive,Portugal,LW,Right,188,81,"['LM', 'ST']",86,94,1,79,-1,80,5,87,0,28,1,77,1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p241721.png?padding=0.7
74,Fridolina Rolfö,31,F,FC Barcelona,Liga F,Sweden,LB,Left,179,69,['LW'],86,82,0,83,1,82,0,87,0,83,0,84,4,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p227013.png?padding=0.7
75,Grimaldo,29,M,Leverkusen,Bundesliga,Spain,LM,Left,171,68,"['LB', 'LW']",86,74,-13,73,4,88,5,85,1,76,0,71,-1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p210035.png?padding=0.7
76,Luka Modrić,39,M,Real Madrid,LALIGA EA SPORTS,Croatia,CM,Right,172,66,"['CAM', 'CDM']",86,72,0,76,0,88,-1,87,0,71,-1,64,-2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p177003.png?padding=0.7
77,Selma Bacha,24,F,OL,Arkema PL,France,LB,Left,161,58,['LW'],86,87,0,73,1,85,1,82,0,79,0,79,1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p265674.png?padding=0.7
78,Alexis Mac Allister,25,M,Liverpool,Premier League,Argentina,CM,Right,176,72,['CDM'],86,69,-1,82,3,85,3,84,2,76,6,76,4,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p239837.png?padding=0.7
79,Lauren Hemp,24,F,Manchester City,Barclays WSL,England,LW,Left,164,59,['LM'],86,90,0,76,0,84,0,87,0,63,0,70,2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p257008.png?padding=0.7
80,Carvajal,32,M,Real Madrid,LALIGA EA SPORTS,Spain,RB,Right,173,73,,86,81,-1,58,4,79,3,81,2,81,4,79,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p204963.png?padding=0.7
81,Mary Earps,31,F,Paris SG,Arkema PL,England,GK,Right,173,68,,86,83,0,83,0,83,0,85,0,41,0,85,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p247504.png?padding=0.7
82,Ousmane Dembélé,27,M,Paris SG,Ligue 1 McDonald's,France,RW,Left,178,67,"['CAM', 'RM']",86,92,-1,75,-2,82,1,88,1,41,5,57,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p231443.png?padding=0.7
83,Lauren James,23,F,Chelsea,Barclays WSL,England,RW,Right,175,77,"['CAM', 'RM']",86,89,2,81,3,80,0,87,2,40,12,82,2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p265249.png?padding=0.7
84,Lena Oberdorf,22,F,FC Bayern München,GPFBL,Germany,CDM,Right,174,68,['CM'],86,62,4,62,1,76,-1,75,-1,87,0,89,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p248717.png?padding=0.7
85,Trent Alexander-Arnold,26,M,Liverpool,Premier League,England,RB,Right,180,72,,86,75,-1,72,3,90,0,80,1,80,0,74,1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p231281.png?padding=0.7
86,Pedri,21,M,FC Barcelona,LALIGA EA SPORTS,Spain,CM,Right,174,60,['LW'],86,77,-1,69,0,82,0,88,0,70,0,74,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p251854.png?padding=0.7
87,Grace Geyoro,27,F,Paris SG,Arkema PL,France,CM,Right,168,61,['CAM'],86,79,2,72,0,82,0,83,1,83,0,79,1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p237197.png?padding=0.7
88,Jonathan Tah,28,M,Leverkusen,Bundesliga,Germany,CB,Right,195,94,,86,71,4,38,1,60,1,62,1,86,5,84,-1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p213331.png?padding=0.7
89,Karim Benzema,36,M,Al Ittihad,ROSHN Saudi League,France,ST,Right,185,81,,86,77,-2,85,-3,81,-2,84,-3,38,-1,77,-1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p165153.png?padding=0.7
90,Bremer,27,M,Juventus,Serie A Enilive,Brazil,CB,Right,187,84,,86,82,2,50,0,58,2,66,1,86,1,85,2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p239580.png?padding=0.7
91,Joshua Kimmich,29,M,FC Bayern München,Bundesliga,Germany,RB,Right,177,75,"['CDM', 'CM']",86,69,-1,74,0,88,0,84,0,81,-1,77,-2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p212622.png?padding=0.7
92,Chloe Kelly,26,F,Manchester City,Barclays WSL,England,RW,Right,168,58,['RM'],86,88,0,79,2,85,0,85,0,43,0,68,1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p257001.png?padding=0.7
93,Unai Simón,27,M,Athletic Club,LALIGA EA SPORTS,Spain,GK,Right,190,89,,86,85,1,81,2,78,1,86,1,49,0,85,1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p230869.png?padding=0.7
94,Lindsey Horan,30,F,OL,Arkema PL,United States,CM,Right,175,67,['CAM'],86,77,-1,84,0,86,0,84,0,63,0,79,1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p231432.png?padding=0.7
95,Lea Schüller,27,F,FC Bayern München,GPFBL,Germany,ST,Right,173,60,,86,87,1,83,0,70,0,82,1,33,0,74,1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p244302.png?padding=0.7
96,Manuel Neuer,38,M,FC Bayern München,Bundesliga,Germany,GK,Right,193,93,,86,83,-1,81,-4,90,0,83,-1,49,0,88,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p167495.png?padding=0.7
97,Jill Roord,27,F,Manchester City,Barclays WSL,Holland,CAM,Right,175,63,"['CM', 'RW']",86,75,-2,84,0,84,0,85,0,52,0,73,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p240714.png?padding=0.7
98,Kim Little,34,F,Arsenal,Barclays WSL,Scotland,CM,Right,162,57,"['CDM', 'CAM']",86,76,0,78,0,83,0,88,0,62,0,66,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p245872.png?padding=0.7
99,Hakan Çalhanoğlu,30,M,Lombardia FC,Serie A Enilive,Turkey,CDM,Right,178,69,['CM'],86,71,4,80,0,87,1,85,0,79,9,76,10,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p208128.png?padding=0.7
100,Khvicha Kvaratskhelia,23,M,SSC Napoli,Serie A Enilive,Georgia,LW,Right,183,70,"['RW', 'LM']",85,86,2,79,-1,80,-1,86,-1,41,0,71,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p247635.png?padding=0.7
101,David Alaba,32,M,Real Madrid,LALIGA EA SPORTS,Austria,CB,Left,180,78,['LB'],85,79,0,71,0,83,0,80,0,85,0,77,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p197445.png?padding=0.7
101,Ronald Araujo,25,M,FC Barcelona,LALIGA EA SPORTS,Uruguay,CB,Right,188,79,['RB'],85,82,3,53,2,64,-1,62,0,85,-1,84,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p253163.png?padding=0.7
101,Ona Batlle,25,F,FC Barcelona,Liga F,Spain,LB,Right,160,51,['RB'],85,80,1,50,0,78,0,80,1,80,0,71,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p253436.png?padding=0.7
101,Julian Brandt,28,M,Borussia Dortmund,Bundesliga,Germany,CAM,Right,185,83,"['RM', 'CM']",85,71,0,79,-1,85,1,86,0,50,-1,70,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p212194.png?padding=0.7
101,Millie Bright,31,F,Chelsea,Barclays WSL,England,CB,Right,178,76,,85,57,0,50,0,69,0,58,0,86,0,87,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p238257.png?padding=0.7
101,Lucy Bronze,33,F,Chelsea,Barclays WSL,England,RB,Right,172,70,,85,71,-2,68,0,80,0,79,-1,84,-1,87,-1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p227246.png?padding=0.7
101,Rachel Daly,32,F,Aston Villa,Barclays WSL,England,ST,Right,167,62,['CAM'],85,77,0,85,0,76,0,82,0,64,0,76,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p235657.png?padding=0.7
101,Caitlin Foord,30,F,Arsenal,Barclays WSL,Australia,LW,Right,169,61,['LM'],85,87,1,78,1,80,0,83,0,45,0,70,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p227110.png?padding=0.7
101,Merle Frohms,29,F,VfL Wolfsburg,GPFBL,Germany,GK,Right,175,60,,85,85,0,82,0,76,0,84,0,51,0,86,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p247789.png?padding=0.7
101,Éder Militão,26,M,Real Madrid,LALIGA EA SPORTS,Brazil,CB,Right,186,78,,85,85,0,50,0,69,0,71,0,85,-1,82,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p240130.png?padding=0.7
101,Cristiana Girelli,34,F,Juventus,Calcio A Femminile,Italy,ST,Right,174,64,['RW'],85,80,-1,85,0,70,-1,80,-1,46,0,78,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p227073.png?padding=0.7
101,Bruno Guimarães,27,M,Newcastle Utd,Premier League,Brazil,CDM,Right,182,74,['CM'],85,68,-3,75,1,83,2,84,0,79,-1,83,2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p247851.png?padding=0.7
101,Kathrin Hendrich,32,F,VfL Wolfsburg,GPFBL,Germany,CB,Right,173,55,['RB'],85,73,1,44,5,70,0,73,0,86,0,76,1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p226375.png?padding=0.7
101,Svenja Huth,33,F,VfL Wolfsburg,GPFBL,Germany,RM,Right,163,54,"['CAM', 'RW']",85,82,0,71,-1,82,-1,85,-1,52,0,68,1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p227337.png?padding=0.7
